DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/SUPER_ETH_E85
2/32/2011/0.0/54984,22/314369.0/105203.0/13548.0/0.0///
59/32/2011/0.0/214030,2/997134.0/553671.0/94282.0/0.0///
60/32/2011/0.0/88572,08/418980.0/102547.0/15476.0/0.0///
62/32/2011/0.0/136107,5/900370.0/175230.0/25833.0/0.0///
80/32/2011/0.0/62224,38/348458.0/107389.0/38188.0/0.0///
99/32/2011/0.0/555918,3/2979311.0/1044040.0/187327.0/0.0/154600.0//
8/44/2011/0.0/23792,48/125760.0/44335.0/2622.0/0.0///
10/44/2011/0.0/36486,44/205949.0/58468.0/152.0/0.0///
51/44/2011/0.0/64454,74/429948.0/185216.0/70836.0/0.0///
52/44/2011/0.0/26704,38/166039.0/44586.0/4923.0/0.0///
54/44/2011/0.0/65710,52/357934.0/483460.0/2433.0/0.0///
55/44/2011/0.0/17461,04/99060.0/41340.0/6661.0/0.0///
57/44/2011/0.0/98531,74/450589.0/182128.0/10572.0/0.0///
67/44/2011/0.0/143500,1/606440.0/237604.0/3921.0/0.0///
68/44/2011/0.0/95733,8/417577.0/135497.0/11724.0/0.0///
88/44/2011/0.0/44351,9/237080.0/61591.0/11460.0/0.0///
99/44/2011/0.0/616727,1/3096376.0/1474225.0/125304.0/0.0/150919.0//
44/52/2011/0.0/168503,9/719444.0/463403.0/17897.0/0.0///
49/52/2011/0.0/83424,64/428112.0/77659.0/16330.0/0.0///
53/52/2011/0.0/30021,06/208004.0/53482.0/14678.0/0.0///
72/52/2011/0.0/74131,72/367116.0/66950.0/2947.0/0.0///
85/52/2011/0.0/97188,64/548512.0/174667.0/4082.0/0.0///
99/52/2011/0.0/453270/2271188.0/836161.0/55934.0/0.0/173872.0//
22/53/2011/0.0/69508,94/361485.0/90888.0/11422.0/0.0///
29/53/2011/0.0/105601/482758.0/174774.0/10063.0/0.0///
35/53/2011/0.0/118576,1/628203.0/389939.0/12204.0/0.0///
56/53/2011/0.0/89612,52/435782.0/94697.0/13994.0/0.0///
99/53/2011/0.0/383298,5/1908228.0/750298.0/47683.0/0.0/174044.0//
16/75/2011/0.0/51744,5/297867.0/68537.0/24120.0/0.0///
17/75/2011/0.0/91160,6/420162.0/92887.0/9778.0/0.0///
19/75/2011/0.0/33772,12/171512.0/51520.0/3250.0/0.0///
23/75/2011/0.0/13883,14/72688.0/40422.0/733.0/0.0///
24/75/2011/0.0/46209,3/220098.0/79569.0/322.0/0.0///
33/75/2011/0.0/194630,4/828896.0/164625.0/17737.0/0.0///
40/75/2011/0.0/53312,56/260041.0/67603.0/19133.0/0.0///
47/75/2011/0.0/39036,48/233266.0/457317.0/1046.0/0.0///
64/75/2011/0.0/70448/285601.0/66813.0/2012.0/0.0///
79/75/2011/0.0/44186,88/292718.0/98164.0/21857.0/0.0///
86/75/2011/0.0/53578,22/278786.0/108160.0/4266.0/0.0///
87/75/2011/0.0/48827,42/204260.0/64560.0/1341.0/0.0///
99/75/2011/0.0/740789,6/3565895.0/1360177.0/105595.0/0.0/310168.0//
9/76/2011/0.0/16065,4/73358.0/13613.0/1926.0/0.0///
11/76/2011/0.0/45319,82/258647.0/43801.0/5685.0/0.0///
12/76/2011/0.0/27595,34/153535.0/59839.0/1980.0/0.0///
30/76/2011/0.0/90273,34/361811.0/80538.0/2169.0/0.0///
31/76/2011/0.0/150202,2/664186.0/83298.0/1774.0/0.0///
32/76/2011/0.0/19795/110379.0/45207.0/687.0/0.0///
34/76/2011/0.0/157099,8/668337.0/201412.0/4801.0/0.0///
46/76/2011/0.0/23999,68/107401.0/27187.0/7547.0/0.0///
48/76/2011/0.0/9780,58/53824.0/34328.0/2229.0/0.0///
65/76/2011/0.0/26986,32/118510.0/26892.0/631.0/0.0///
66/76/2011/0.0/55985,44/227193.0/66042.0/1539.0/0.0///
81/76/2011/0.0/40792,5/197607.0/53522.0/7617.0/0.0///
82/76/2011/0.0/25749,78/164467.0/35313.0/473.0/0.0///
99/76/2011/0.0/689645,2/3159255.0/770992.0/39058.0/0.0/209978.0//
1/84/2011/0.0/77660,04/370424.0/101277.0/29219.0/0.0///
3/84/2011/0.0/45124,46/222259.0/79967.0/3601.0/0.0///
7/84/2011/0.0/35881,12/132814.0/31194.0/9328.0/0.0///
15/84/2011/0.0/15744,98/77551.0/39979.0/11227.0/0.0///
26/84/2011/0.0/78019,68/448159.0/108369.0/4430.0/0.0///
38/84/2011/0.0/147971,1/630058.0/127126.0/17055.0/0.0///
42/84/2011/0.0/81359,3/392492.0/368351.0/24503.0/0.0///
43/84/2011/0.0/23669,64/128860.0/60093.0/5933.0/0.0///
63/84/2011/0.0/84769,96/367276.0/119721.0/20578.0/0.0///
69/84/2011/0.0/196408,6/920946.0/519047.0/19223.0/0.0///
73/84/2011/0.0/60950,1/325327.0/91280.0/30041.0/0.0///
74/84/2011/0.0/103298,1/419580.0/119238.0/4028.0/0.0///
99/84/2011/0.0/950857,1/4435746.0/1765642.0/179166.0/0.0/265719.0//
4/93/2011/0.0/24643,48/96575.0/30927.0/594.0/0.0///
5/93/2011/0.0/20253,06/88859.0/38289.0/1659.0/0.0///
6/93/2011/0.0/198166,1/436204.0/132782.0/2334.0/0.0///
13/93/2011/0.0/261630,7/1054443.0/284376.0/251195.0/0.0///
83/93/2011/0.0/182898,4/554863.0/101533.0/2564.0/0.0///
84/93/2011/0.0/84690,78/376420.0/85501.0/7100.0/0.0///
99/93/2011/0.0/772282,5/2607364.0/673408.0/265446.0/0.0/137567.0//
2A/94/2011/0.0/25253,98/62094.0/13097.0/0.0/0.0///
2B/94/2011/0.0/34469,2/93815.0/50153.0/0.0/0.0///
99/94/2011/0.0/59723,18/155909.0/63250.0/0.0/0.0/33519.0//
99/99/2011///////12900.0//
FR/FR/2011/0.0/7515154/33224546.0/11481306.0/1216243.0/0.0/2083819.0/6431271,2/
75/11/2012/0.0/98027,06/172171.0/6163.0/28322.0/75485.0///
77/11/2012/0.0/170012/729111.0/87707.0/14513.0/31385.0///
78/11/2012/0.0/191061,3/595009.0/70939.0/730.0/13211.0///
91/11/2012/0.0/166301,7/570225.0/62046.0/216.0/17371.0///
92/11/2012/0.0/120880,5/276675.0/125605.0/27400.0/25582.0///
93/11/2012/0.0/108930,2/376189.0/27654.0/1457.0/12161.0///
94/11/2012/0.0/120866,4/415429.0/108713.0/6229.0/26843.0///
95/11/2012/0.0/126945,5/458782.0/58833.0/1964.0/29876.0///
99/11/2012/0.0/1103025/3593591.0/547660.0/80831.0/231914.0/87582.0//
18/24/2012/0.0/38167,72/193861.0/45957.0/104.0/22308.0///
28/24/2012/0.0/57976,78/301216.0/52413.0/2989.0/26491.0///
36/24/2012/0.0/27166,88/144162.0/29304.0/75.0/19828.0///
37/24/2012/0.0/75204,72/340821.0/64095.0/2589.0/41771.0///
41/24/2012/0.0/43484,62/201698.0/39164.0/1262.0/19676.0///
45/24/2012/0.0/84492,46/431880.0/270637.0/20684.0/146778.0///
99/24/2012/0.0/326493,2/1613638.0/501570.0/27703.0/276852.0/119657.0//
21/27/2012/0.0/70954,9/360580.0/70323.0/4020.0/39280.0///
25/27/2012/0.0/59794,96/321160.0/116275.0/7620.0/33087.0///
39/27/2012/0.0/32052,36/185924.0/47290.0/1983.0/13492.0///
58/27/2012/0.0/28219,9/112240.0/37234.0/1110.0/23012.0///
70/27/2012/0.0/23522,38/143103.0/41055.0/3730.0/15283.0///
71/27/2012/0.0/78309,76/417738.0/70361.0/24267.0/31543.0///
89/27/2012/0.0/49600,72/246449.0/37516.0/913.0/22726.0///
90/27/2012/0.0/13823,94/58004.0/15077.0/471.0/2842.0///
99/27/2012/0.0/356278,9/1845198.0/435131.0/44114.0/181265.0/123163.0//
14/28/2012/0.0/88682,34/451664.0/117379.0/5126.0/83717.0///
27/28/2012/0.0/67514,64/350375.0/50064.0/7878.0/13886.0///
50/28/2012/0.0/56823,86/315466.0/59347.0/19765.0/57298.0///
61/28/2012/0.0/27710,04/169147.0/48723.0/5358.0/32383.0///
76/28/2012/0.0/135952,8/715664.0/118203.0/28178.0/69861.0///
99/28/2012/0.0/376683,7/2002316.0/393716.0/66305.0/257145.0/139304.0//
2/32/2012/0.0/51407,06/312719.0/66068.0/9196.0/27848.0///
59/32/2012/0.0/202956,8/1048703.0/355469.0/33804.0/217048.0///
60/32/2012/0.0/83850,14/425974.0/64840.0/16911.0/39008.0///
62/32/2012/0.0/127900,1/944018.0/94145.0/16326.0/77041.0///
80/32/2012/0.0/58296,46/348384.0/67994.0/36672.0/44961.0///
99/32/2012/0.0/524410,6/3079798.0/648516.0/112909.0/405906.0/147899.0//
8/44/2012/0.0/22829/129442.0/32796.0/654.0/11518.0///
10/44/2012/0.0/36882,34/210005.0/31128.0/78.0/29054.0///
51/44/2012/0.0/60137,58/422690.0/99462.0/57956.0/90681.0///
52/44/2012/0.0/24761,14/158430.0/28803.0/2560.0/17035.0///
54/44/2012/0.0/61015,96/348965.0/331281.0/7199.0/220060.0///
55/44/2012/0.0/16294,06/106387.0/26806.0/5947.0/13591.0///
57/44/2012/0.0/93364,32/470029.0/131185.0/18316.0/51938.0///
67/44/2012/0.0/134894,6/598775.0/194374.0/5393.0/45705.0///
68/44/2012/0.0/92086,34/420363.0/110173.0/8691.0/25315.0///
88/44/2012/0.0/41554,7/233861.0/49551.0/8675.0/17461.0///
99/44/2012/0.0/583820/3098947.0/1035559.0/115469.0/522358.0/148972.0//
44/52/2012/0.0/161837,3/735035.0/287510.0/13420.0/233307.0///
49/52/2012/0.0/79216,26/435197.0/47098.0/12507.0/28175.0///
53/52/2012/0.0/28315,36/207285.0/25714.0/13246.0/25997.0///
72/52/2012/0.0/71943,54/365326.0/42389.0/2306.0/16836.0///
85/52/2012/0.0/96178,54/546315.0/96414.0/3671.0/83260.0///
99/52/2012/0.0/437491/2289158.0/499125.0/45150.0/387575.0/180753.0//
22/53/2012/0.0/66227,04/366999.0/58750.0/10147.0/45749.0///
29/53/2012/0.0/100753,2/498874.0/125876.0/8887.0/28501.0///
35/53/2012/0.0/111767,4/636271.0/254795.0/10046.0/176990.0///
56/53/2012/0.0/85489,24/443181.0/58322.0/9069.0/32433.0///
99/53/2012/0.0/364236,9/1945325.0/497743.0/38149.0/283673.0/175182.0//
16/75/2012/0.0/45583,26/294338.0/37309.0/19533.0/33328.0///
17/75/2012/0.0/90505,7/442073.0/57083.0/8620.0/32598.0///
19/75/2012/0.0/31475,16/167594.0/35109.0/2888.0/15453.0///
23/75/2012/0.0/12858,98/70267.0/26776.0/638.0/13028.0///
24/75/2012/0.0/44820,32/222377.0/55975.0/851.0/24302.0///
33/75/2012/0.0/185318,9/827798.0/78159.0/11752.0/65223.0///
40/75/2012/0.0/50038,8/264313.0/27382.0/18488.0/36217.0///
47/75/2012/0.0/34883,6/230781.0/313422.0/1295.0/191441.0///
64/75/2012/0.0/67741,08/287474.0/29436.0/1244.0/27279.0///
79/75/2012/0.0/41822,58/295028.0/56307.0/22789.0/35475.0///
86/75/2012/0.0/50704,8/282657.0/67681.0/3847.0/44888.0///
87/75/2012/0.0/46412,06/202729.0/43272.0/2364.0/22811.0///
99/75/2012/0.0/702165,3/3587429.0/827911.0/94309.0/542043.0/327249.0//
9/76/2012/0.0/15234,38/72192.0/7505.0/1756.0/3556.0///
11/76/2012/0.0/43916,04/262078.0/19203.0/1620.0/13407.0///
12/76/2012/0.0/25898,52/149614.0/30663.0/1545.0/18680.0///
30/76/2012/0.0/86477,14/370033.0/57605.0/1776.0/22463.0///
31/76/2012/0.0/144140,9/664198.0/40022.0/1892.0/32933.0///
32/76/2012/0.0/18716,08/109351.0/19499.0/1083.0/23957.0///
34/76/2012/0.0/145799,2/675333.0/146804.0/3720.0/91211.0///
46/76/2012/0.0/23021,4/107581.0/18047.0/7860.0/7453.0///
48/76/2012/0.0/9722,12/53661.0/27749.0/1830.0/6131.0///
65/76/2012/0.0/25215,5/117988.0/15450.0/877.0/10906.0///
66/76/2012/0.0/54643,08/236859.0/23800.0/1546.0/13574.0///
81/76/2012/0.0/38938,06/190948.0/31065.0/7155.0/16526.0///
82/76/2012/0.0/24565,78/166702.0/21226.0/152.0/13550.0///
