OPERATEUR;ANNEE;FILIERE ;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
GrDF;2017;G;InterCom;200035319;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035434;0;0;0;0;0;0;0;0;0;234;9;0;0;0;0;0;0
GrDF;2017;G;InterCom;200035459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035632;0;0;0;0;0;0;0;0;0;193;13;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035665;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035699;0;0;0;0;0;0;0;0;0;260;18;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035731;0;0;0;0;0;0;0;0;0;398;18;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035863;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200036069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036135;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036465;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036473;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200036614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200037133;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200038933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039022;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;239;3;0
GrDF;2017;G;InterCom;200039063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039204;0;0;0;0;0;0;0;0;0;249;9;0;0;0;0;0;0
GrDF;2017;G;InterCom;200039642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039758;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200039857;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039865;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;347;3;0
GrDF;2017;G;InterCom;200039865;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200039907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039949;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200039956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040111;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040244;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040277;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200040293;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200040350;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040426;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200040442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200040483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;378;3;0
GrDF;2017;G;InterCom;200040491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
