iter	Passed	Remaining
576	4008	2938
577	4013	2930
578	4021	2924
579	4024	2914
580	4029	2906
581	4038	2900
582	4044	2893
583	4055	2889
584	4062	2881
585	4076	2879
586	4086	2874
587	4090	2866
588	4099	2860
589	4103	2851
590	4107	2842
591	4111	2833
592	4117	2825
593	4125	2819
594	4129	2810
595	4132	2801
596	4139	2794
597	4144	2786
598	4148	2777
599	4152	2768
600	4157	2759
601	4160	2750
602	4163	2741
603	4168	2733
604	4171	2723
605	4178	2716
606	4188	2711
607	4191	2702
608	4195	2693
609	4203	2687
610	4206	2678
611	4210	2669
612	4214	2660
613	4219	2652
614	4223	2643
615	4226	2634
616	4232	2627
617	4237	2619
618	4241	2610
619	4244	2601
620	4251	2594
621	4257	2587
622	4261	2578
623	4264	2569
624	4268	2560
625	4272	2552
626	4276	2544
627	4280	2535
628	4283	2526
629	4287	2517
630	4291	2509
631	4295	2501
632	4298	2492
633	4302	2483
634	4305	2475
635	4310	2466
636	4314	2458
637	4318	2450
638	4322	2442
639	4332	2436
640	4336	2428
641	4341	2421
642	4345	2412
643	4349	2404
644	4353	2396
645	4356	2387
646	4361	2379
647	4365	2371
648	4370	2363
649	4374	2355
650	4378	2347
651	4382	2338
652	4386	2331
653	4389	2322
654	4393	2314
655	4396	2305
656	4401	2297
657	4406	2290
658	4409	2281
659	4412	2273
660	4416	2264
661	4424	2258
662	4439	2256
663	4443	2248
664	4448	2240
665	4452	2232
666	4455	2224
667	4460	2216
668	4464	2208
669	4467	2200
670	4470	2191
671	4474	2183
672	4477	2175
673	4481	2167
674	4484	2159
675	4488	2151
676	4492	2143
677	4495	2135
678	4499	2127
679	4502	2118
680	4505	2110
681	4509	2102
682	4513	2094
683	4517	2087
684	4521	2079
685	4525	2071
686	4528	2063
687	4532	2055
688	4535	2047
689	4539	2039
690	4544	2032
691	4548	2024
692	4551	2016
693	4555	2008
694	4558	2000
695	4562	1992
696	4566	1985
697	4573	1978
698	4578	1971
699	4583	1964
700	4587	1956
701	4591	1948
702	4594	1941
703	4599	1933
704	4602	1925
705	4605	1918
706	4611	1910
707	4617	1904
708	4625	1898
709	4629	1890
710	4632	1883
711	4637	1875
712	4641	1868
713	4645	1860
714	4648	1853
715	4653	1845
716	4658	1838
717	4662	1831
718	4665	1823
719	4669	1815
720	4672	1808
721	4676	1800
722	4683	1794
723	4687	1787
724	4698	1782
725	4705	1775
726	4713	1770
727	4718	1763
728	4723	1755
729	4726	1748
730	4730	1740
731	4734	1733
732	4737	1725
733	4741	1718
734	4744	1710
735	4747	1702
736	4751	1695
737	4754	1688
738	4758	1680
739	4761	1672
740	4765	1665
741	4770	1658
742	4775	1651
743	4778	1644
744	4782	1636
745	4785	1629
746	4790	1622
747	4793	1614
748	4798	1608
749	4809	1603
750	4820	1598
751	4825	1591
752	4833	1585
753	4836	1577
754	4841	1571
755	4849	1565
756	4853	1557
757	4857	1550
758	4865	1544
759	4869	1537
760	4875	1531
761	4883	1525
762	4887	1518
763	4892	1511
764	4895	1503
765	4901	1497
766	4905	1490
767	4909	1483
768	4913	1476
769	4917	1468
770	4923	1462
771	4927	1455
772	4930	1448
773	4939	1442
774	4943	1435
775	4948	1428
776	4953	1421
777	4958	1414
778	4961	1407
779	4965	1400
780	4970	1393
781	4973	1386
782	4977	1379
783	4980	1372
784	4985	1365
785	4995	1360
786	5000	1353
787	5004	1346
788	5007	1339
789	5012	1332
790	5016	1325
791	5020	1318
792	5023	1311
793	5027	1304
794	5032	1297
795	5035	1290
796	5038	1283
797	5042	1276
798	5046	1269
799	5050	1262
800	5053	1255
801	5059	1249
802	5064	1242
803	5068	1235
804	5072	1228
805	5085	1223
806	5089	1217
807	5103	1212
808	5117	1208
809	5133	1204
810	5151	1200
811	5168	1196
812	5201	1196
813	5221	1193
814	5229	1187
815	5234	1180
816	5248	1175
817	5263	1171
818	5269	1164
819	5278	1158
820	5283	1151
821	5308	1149
822	5313	1142
823	5321	1136
824	5325	1129
825	5329	1122
826	5334	1115
827	5338	1109
828	5342	1101
829	5346	1095
830	5350	1088
831	5354	1081
832	5357	1074
833	5361	1067
834	5364	1060
835	5368	1053
836	5371	1046
837	5374	1039
838	5378	1032
839	5381	1025
840	5385	1018
841	5389	1011
842	5395	1004
843	5409	999
844	5413	993
845	5416	986
846	5420	979
847	5426	972
848	5430	965
849	5434	958
850	5439	952
851	5444	945
852	5447	938
853	5451	931
854	5454	925
855	5458	918
856	5462	911
857	5465	904
858	5470	897
859	5473	891
860	5478	884
861	5482	877
862	5488	871
863	5492	864
864	5495	857
865	5502	851
866	5506	844
867	5510	837
868	5515	831
869	5519	824
870	5525	818
871	5533	812
872	5538	805
873	5542	799
874	5549	792
875	5553	786
876	5558	779
877	5564	773
878	5569	766
879	5574	760
880	5579	753
881	5584	747
882	5588	740
883	5595	734
884	5601	727
885	5608	721
886	5614	715
887	5618	708
888	5623	702
889	5627	695
890	5630	688
891	5634	682
892	5638	675
893	5642	668
894	5646	662
895	5650	655
896	5654	649
897	5657	642
898	5661	636
899	5666	629
900	5669	622
901	5672	616
902	5676	609
903	5679	603
904	5684	596
905	5687	590
906	5691	583
907	5694	576
908	5698	570
909	5702	564
910	5706	557
911	5709	550
912	5713	544
913	5718	538
914	5721	531
915	5725	525
916	5732	518
917	5737	512
918	5744	506
919	5751	500
920	5755	493
921	5763	487
922	5767	481
923	5784	475
924	5798	470
925	5803	463
926	5817	458
927	5821	451
928	5830	445
929	5841	439
930	5845	433
931	5851	426
932	5855	420
933	5859	414
934	5870	408
935	5873	401
936	5882	395
937	5887	389
938	5890	382
939	5902	376
940	5905	370
941	5914	364
942	5919	357
943	5922	351
944	5932	345
945	5937	338
946	5944	332
947	5948	326
948	5952	319
949	5961	313
950	5965	307
951	5972	301
952	5983	295
953	6000	289
954	6014	283
955	6020	277
956	6030	270
957	6034	264
958	6044	258
959	6048	252
960	6058	245
961	6062	239
962	6065	233
963	6076	226
964	6080	220
965	6091	214
966	6095	208
967	6099	201
968	6104	195
969	6117	189
970	6122	182
971	6126	176
972	6136	170
973	6140	163
974	6151	157
975	6156	151
976	6161	145
977	6175	138
978	6204	133
979	6207	126
980	6230	120
981	6250	114
982	6259	108
983	6264	101
984	6270	95
985	6277	89
986	6291	82
987	6296	76
988	6306	70
989	6313	63
990	6323	57
991	6331	51
992	6341	44
993	6355	38
994	6359	31
995	6378	25
996	6385	19
997	6396	12
998	6401	6
999	6407	0
